X;Y;Area
88.47;79.86;0
87.62;82.03;0
86.47;80.3;0
79.56;57.0;0
73.03;25.67;0
80.4;54.83;0
70.73;22.21;0
68.58;20.69;0
67.58;20.91;0
86.39;79.32;0
66.58;21.13;0
65.51;20.37;0
67.29;55.72;0
64.36;18.64;0
66.29;55.94;0
65.29;56.16;0
85.55;81.5;0
84.55;81.71;0
83.48;80.96;0
67.07;78.6;0
66.37;56.92;0
67.91;76.43;0
64.2;16.69;0
66.49;174.03;0
63.25;133.04;0
60.91;13.44;0
67.14;79.58;0
62.02;130.34;0
63.36;18.86;0
66.99;77.63;0
68.23;106.14;0
65.91;76.87;0
61.37;19.3;0
63.3;56.6;0
60.22;17.56;0
64.0;78.28;0
59.37;19.73;0
62.92;77.52;0
61.93;77.74;0
48.58;75.71;0
48.5;74.73;0
47.43;73.97;0
40.98;69.43;0
40.91;68.46;0
54.79;64.42;0
49.63;11.95;0
43.39;151.3;0
28.88;121.72;0
30.74;170.95;0
28.96;122.7;0
25.06;137.45;0
27.45;180.61;0
23.98;136.69;0
27.6;182.56;0
22.91;135.94;0
27.53;181.58;0
23.5;79.22;0
22.19;62.64;0
17.99;125.1;0
26.52;168.9;0
18.77;134.86;0
15.01;151.57;0
16.45;92.68;0
13.86;149.83;0
29.05;162.38;0
11.32;130.54;0
11.87;150.27;0
24.65;80.96;0
22.5;79.44;0
6.7;71.99;0
25.46;181.04;0
23.46;181.48;0
0.45;19.95;0
22.46;181.7;0
12.58;7.72;0
13.57;7.94;0
12.64;45.46;0
10.34;48.92;0
9.26;49.68;0
8.9;2.94;0
8.05;0.77;0
16.37;113.78;0
9.68;159.96;0
10.28;190.87;0
18.44;113.24;0
12.21;153.57;0
12.29;152.59;0
9.92;144.13;0
12.37;151.62;0
11.53;149.45;0
11.45;150.42;0
29.71;137.55;0
30.86;135.82;0
31.86;136.04;0
19.52;112.48;0
21.82;109.02;0
17.27;179.49;0
22.82;109.24;0
49.08;33.6;0
40.59;166.74;0
41.71;49.85;0
34.08;133.55;0
52.13;71.99;0
53.13;72.21;0
55.12;72.65;0
58.56;106.16;0
62.0;126.77;0
53.82;76.33;0
51.86;165.24;0
62.08;125.79;0
62.16;124.82;0
62.23;123.84;0
