X;Y;Area
148.31;74.07;0
147.22;72.59;0
146.22;72.97;0
144.13;71.86;0
140.94;69.28;0
140.99;70.2;0
139.94;69.65;0
137.76;66.69;0
145.17;72.41;0
131.53;64.31;0
127.25;60.24;0
126.2;59.69;0
126.3;61.54;0
125.25;60.99;0
124.2;60.44;0
123.16;59.89;0
117.83;55.27;0
114.79;55.47;0
122.11;59.34;0
113.69;53.99;0
109.51;51.78;0
147.41;76.3;0
105.18;46.79;0
109.2;125.59;0
144.17;72.79;0
106.11;124.86;0
102.05;45.13;0
105.16;126.17;0
142.03;70.76;0
101.14;47.36;0
104.16;126.54;0
100.0;44.95;0
103.16;126.92;0
137.85;68.55;0
102.16;127.29;0
137.9;69.47;0
137.04;72.63;0
95.82;42.75;0
136.04;73.0;0
100.21;128.97;0
133.62;65.41;0
134.0;72.83;0
132.57;64.86;0
133.04;74.13;0
132.62;65.79;0
132.05;74.5;0
131.57;65.23;0
131.05;74.88;0
98.02;126.01;0
129.81;70.62;0
95.92;144.75;0
128.86;71.92;0
103.11;125.99;0
127.39;63.02;0
98.07;126.94;0
126.67;68.96;0
92.68;41.09;0
125.91;73.97;0
125.39;63.77;0
95.77;41.82;0
124.68;69.71;0
94.88;124.35;0
123.25;61.74;0
122.25;62.12;0
121.49;67.13;0
120.82;73.99;0
116.88;56.57;0
119.68;71.58;0
115.83;56.02;0
118.54;69.18;0
117.97;58.05;0
95.6;118.41;0
117.35;65.84;0
116.93;57.5;0
95.83;123.05;0
116.4;67.15;0
115.93;57.88;0
115.54;70.3;0
115.12;61.96;0
111.6;52.88;0
114.54;70.68;0
113.84;56.77;0
96.55;117.11;0
112.84;57.15;0
112.7;54.36;0
75.34;120.35;0
111.84;57.52;0
95.91;44.6;0
75.24;118.49;0
110.7;55.11;0
110.31;67.54;0
72.34;121.47;0
108.32;68.29;0
107.84;59.02;0
106.84;59.39;0
106.7;56.61;0
76.1;115.34;0
105.47;52.35;0
98.93;103.93;0
102.42;52.55;0
79.19;116.07;0
101.42;52.92;0
100.28;50.52;0
97.33;52.57;0
99.0;45.33;0
99.97;124.33;0
97.38;53.5;0
96.05;47.38;0
99.21;129.34;0
98.16;128.79;0
58.46;108.73;0
93.87;44.42;0
97.16;129.16;0
80.0;111.98;0
93.15;50.36;0
96.17;129.54;0
92.39;55.37;0
92.15;50.73;0
91.73;42.39;0
93.83;143.64;0
95.17;129.91;0
91.15;51.11;0
97.9;203.53;0
94.92;145.12;0
58.78;135.06;0
57.25;25.09;0
96.9;203.91;0
95.1;168.67;0
93.69;140.86;0
58.73;134.14;0
50.79;18.07;0
94.2;170.9;0
92.83;144.02;0
87.49;59.1;0
87.87;46.67;0
94.9;204.65;0
53.44;170.13;0
91.83;144.39;0
54.51;111.15;0
90.93;146.62;0
57.88;137.29;0
59.62;51.6;0
89.93;147.0;0
88.93;147.37;0
48.6;15.11;0
87.93;147.75;0
89.91;206.53;0
56.93;138.59;0
88.91;206.9;0
87.96;208.21;0
57.38;67.56;0
86.96;208.58;0
80.02;72.29;0
51.62;214.28;0
40.39;93.78;0
51.48;211.5;0
39.88;203.57;0
37.88;204.32;0
37.63;99.54;0
36.88;204.69;0
36.69;200.99;0
34.64;200.81;0
60.48;48.45;0
30.79;205.09;0
29.79;205.46;0
28.65;203.06;0
64.63;130.03;0
63.59;129.48;0
26.46;200.1;0
58.67;52.9;0
25.28;196.76;0
56.25;25.47;0
24.09;193.43;0
54.26;26.22;0
54.96;59.97;0
24.18;195.28;0
57.59;131.73;0
56.64;133.03;0
24.14;194.36;0
40.57;137.17;0
49.79;18.44;0
54.69;134.71;0
48.79;18.82;0
25.23;195.84;0
53.69;135.08;0
47.79;19.19;0
52.69;135.46;0
45.6;16.23;0
52.44;170.51;0
44.6;16.61;0
51.4;169.96;0
50.26;167.55;0
22.95;191.02;0
17.2;58.07;0
4.32;25.11;0
48.76;218.19;0
24.29;177.3;0
44.93;162.93;0
39.39;94.15;0
39.57;137.55;0
38.97;205.8;0
36.63;99.91;0
37.57;138.3;0
23.05;173.03;0
34.73;102.51;0
3.1;159.23;0
6.55;91.55;0
4.01;161.46;0
7.64;90.07;0
23.1;173.96;0
5.1;159.98;0
7.55;91.92;0
6.0;162.2;0
14.04;96.1;0
9.97;84.33;0
7.0;162.58;0
9.95;115.59;0
1.77;95.04;0
7.24;157.94;0
13.11;82.67;0
15.94;27.04;0
13.26;99.73;0
13.06;83.6;0
14.26;100.11;0
14.49;95.47;0
27.79;206.21;0
11.84;252.82;0
13.54;94.17;0
14.67;52.08;0
25.8;206.96;0
25.42;199.55;0
5.07;220.44;0
14.21;101.04;0
22.33;198.82;0
18.37;159.29;0
9.83;226.94;0
21.05;193.63;0
20.05;194.0;0
19.05;194.38;0
21.12;145.2;0
1.07;201.12;0
20.93;148.91;0
6.96;163.51;0
29.67;97.39;0
29.16;147.27;0
24.85;191.95;0
33.09;90.17;0
30.92;152.66;0
29.7;196.61;0
28.43;101.65;0
30.84;194.2;0
34.49;142.66;0
34.96;153.23;0
39.08;92.42;0
37.48;143.78;0
41.45;65.9;0
38.48;144.16;0
41.74;80.19;0
35.09;230.75;0
39.57;142.68;0
41.98;95.39;0
40.48;144.91;0
42.89;97.62;0
44.26;70.74;0
42.99;115.61;0
43.74;100.78;0
44.78;80.38;0
44.03;115.06;0
44.79;100.23;0
45.78;80.76;0
43.62;143.25;0
45.13;113.58;0
45.55;105.24;0
45.88;98.75;0
46.78;81.13;0
44.57;144.55;0
45.89;118.59;0
46.55;105.61;0
47.68;83.36;0
45.38;148.63;0
47.03;116.18;0
47.41;108.77;0
48.54;86.52;0
46.57;145.3;0
48.22;112.85;0
49.26;92.45;0
46.9;158.65;0
47.57;145.67;0
49.22;113.23;0
49.69;103.95;0
50.3;91.9;0
47.0;156.8;0
48.56;146.05;0
50.69;104.33;0
39.27;228.54;0
49.14;154.77;0
51.03;117.68;0
51.78;102.85;0
39.18;230.4;0
50.61;145.87;0
52.64;106.01;0
50.26;92.83;0
36.13;230.2;0
51.23;153.66;0
53.12;116.58;0
51.52;167.95;0
52.47;149.4;0
54.16;116.03;0
52.33;172.03;0
52.71;164.61;0
53.46;149.78;0
49.55;246.57;0
53.24;174.26;0
54.04;158.5;0
54.79;143.66;0
50.55;246.95;0
53.57;187.61;0
54.94;160.73;0
55.46;150.53;0
51.79;242.69;0
54.57;187.99;0
55.75;164.81;0
56.46;150.9;0
57.12;137.92;0
53.12;236.57;0
56.18;176.31;0
57.27;154.99;0
57.84;143.86;0
53.78;243.44;0
56.57;188.74;0
57.51;170.19;0
58.13;158.14;0
58.93;142.38;0
57.19;196.53;0
58.61;168.71;0
59.65;148.32;0
57.4;132.36;0
49.49;87.82;0
55.78;244.19;0
58.14;197.83;0
58.57;189.49;0
59.32;174.65;0
60.27;156.11;0
56.83;243.63;0
59.38;193.57;0
60.27;175.95;0
61.31;155.56;0
57.78;244.93;0
60.66;188.38;0
61.37;174.47;0
58.92;242.53;0
61.66;188.76;0
60.01;241.05;0
61.01;241.42;0
64.18;179.31;0
62.11;239.94;0
65.17;179.68;0
63.1;240.32;0
62.98;162.8;0
64.15;239.77;0
67.17;180.43;0
65.1;241.07;0
67.84;187.3;0
64.7;169.11;0
66.15;240.52;0
68.65;191.38;0
46.29;30.87;0
70.03;204.18;0
46.33;29.94;0
70.89;207.34;0
70.32;198.62;0
55.97;120.48;0
48.59;85.59;0
46.11;74.27;0
48.43;28.84;0
48.91;39.41;0
49.42;29.21;0
49.9;39.79;0
48.83;80.95;0
51.42;29.96;0
51.57;47.03;0
52.42;30.34;0
51.11;95.99;0
54.42;31.09;0
54.62;47.22;0
52.97;99.52;0
56.42;31.84;0
56.61;47.97;0
54.54;108.61;0
58.41;32.59;0
62.08;160.57;0
55.59;108.06;0
59.41;32.96;0
56.02;119.56;0
56.45;111.21;0
60.41;33.34;0
57.07;119.01;0
61.41;33.71;0
62.41;34.09;0
63.41;34.46;0
64.41;34.84;0
60.17;138.12;0
65.41;35.21;0
66.41;35.59;0
67.4;35.96;0
63.07;141.1;0
63.74;147.96;0
69.4;36.71;0
70.4;37.08;0
73.4;38.21;0
73.5;176.19;0
74.41;198.26;0
75.27;201.42;0
75.56;235.55;0
75.8;230.91;0
76.61;234.99;0
77.08;225.72;0
134.66;65.96;0
146.22;72.97;0
133.62;65.41;0
132.57;64.86;0
126.3;61.54;0
104.91;141.37;0
125.25;60.99;0
124.2;60.44;0
122.11;59.34;0
121.06;58.78;0
118.97;57.68;0
117.93;57.13;0
115.83;56.02;0
114.74;54.54;0
113.69;53.99;0
112.65;53.44;0
100.0;44.95;0
98.95;44.4;0
95.77;41.82;0
95.9;204.28;0
93.9;205.03;0
92.62;199.84;0
91.62;200.22;0
90.86;205.23;0
87.93;147.75;0
89.62;200.97;0
51.62;214.28;0
53.44;170.13;0
48.6;15.11;0
47.55;14.56;0
54.52;211.3;0
51.48;211.5;0
39.88;203.57;0
59.62;51.6;0
37.88;204.32;0
36.88;204.69;0
30.79;205.09;0
28.27;195.64;0
26.28;196.39;0
25.28;196.76;0
55.96;59.59;0
21.52;63.06;0
52.4;169.58;0
46.02;164.41;0
40.57;137.17;0
28.65;203.06;0
26.46;200.1;0
25.23;195.84;0
23.04;192.88;0
19.67;66.59;0
18.67;66.97;0
17.67;67.34;0
17.29;80.46;0
14.39;62.91;0
18.37;159.29;0
20.41;159.11;0
20.93;148.91;0
5.07;220.44;0
35.09;230.75;0
44.26;70.74;0
45.25;71.11;0
46.43;28.09;0
45.97;77.05;0
50.26;92.83;0
46.38;29.02;0
48.54;86.52;0
49.4;89.67;0
51.92;100.07;0
51.78;102.85;0
53.5;109.16;0
55.21;115.47;0
55.16;116.4;0
70.89;207.34;0
50.35;90.98;0
48.43;28.84;0
55.97;120.48;0
56.69;126.42;0
55.42;31.46;0
57.4;132.36;0
58.21;136.44;0
58.93;142.38;0
61.41;33.71;0
60.41;153.33;0
62.41;34.09;0
63.41;34.46;0
64.41;34.84;0
62.98;162.8;0
63.89;165.03;0
61.46;152.78;0
67.89;186.37;0
64.7;169.11;0
68.65;191.38;0
69.4;36.71;0
70.32;198.62;0
72.4;37.83;0
